0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:28:45 -0300] "POST /ScadaBR/dwr/call/plaincall/UsersProfilesDwr.getInitData.dwr HTTP/1.1" 200 4586
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:28:47 -0300] "POST /ScadaBR/dwr/call/plaincall/UsersProfilesDwr.getUserProfile.dwr HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:28:47 -0300] "GET /ScadaBR/images/user_suit.png HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:28:58 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.jsError.dwr HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:02 -0300] "GET /ScadaBR/users.shtm HTTP/1.1" 200 31087
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:02 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.terminateLongPoll.dwr HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:02 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.doLongPoll.dwr HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:02 -0300] "GET /ScadaBR/dwr/interface/UsersDwr.js HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:02 -0300] "GET /ScadaBR/dwr/interface/MiscDwr.js HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:02 -0300] "GET /ScadaBR/images/email_go.png HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:02 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.initializeLongPoll.dwr HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:02 -0300] "POST /ScadaBR/dwr/call/plaincall/UsersDwr.getInitData.dwr HTTP/1.1" 200 4615
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:04 -0300] "POST /ScadaBR/dwr/call/plaincall/UsersDwr.getUser.dwr HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:18 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.terminateLongPoll.dwr HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:18 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.doLongPoll.dwr HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "GET /ScadaBR/maintenance_events.shtm HTTP/1.1" 200 57386
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "GET /ScadaBR/dwr/interface/MaintenanceEventsDwr.js HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "GET /ScadaBR/dwr/interface/MiscDwr.js HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.initializeLongPoll.dwr HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "POST /ScadaBR/dwr/call/plaincall/MaintenanceEventsDwr.getMaintenanceEvents.dwr HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.terminateLongPoll.dwr HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.doLongPoll.dwr HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "GET /ScadaBR/dwr/interface/MiscDwr.js HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "GET /ScadaBR/dwr/interface/SystemSettingsDwr.js HTTP/1.1" 200 5547
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:19 -0300] "GET /ScadaBR/images/bin.png HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:20 -0300] "GET /ScadaBR/system_settings.shtm HTTP/1.1" 200 41604
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:20 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.initializeLongPoll.dwr HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:20 -0300] "POST /ScadaBR/dwr/call/plaincall/SystemSettingsDwr.checkTypeDB.dwr HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:20 -0300] "POST /ScadaBR/dwr/call/plaincall/SystemSettingsDwr.getSettings.dwr HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:34 -0300] "GET /ScadaBR/point_hierarchy.shtm HTTP/1.1" 200 20780
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:34 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.terminateLongPoll.dwr HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:34 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.doLongPoll.dwr HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:34 -0300] "GET /ScadaBR/dwr/interface/MiscDwr.js HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:34 -0300] "GET /ScadaBR/dwr/interface/PointHierarchyDwr.js HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:34 -0300] "GET /ScadaBR/images/folder_add.png HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:34 -0300] "POST /ScadaBR/dwr/call/plaincall/MiscDwr.initializeLongPoll.dwr HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:34 -0300] "POST /ScadaBR/dwr/call/plaincall/PointHierarchyDwr.getPointHierarchy.dwr HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [21/Nov/2022:21:29:50 -0300] "GET /ScadaBR/point_links.shtm HTTP/1.1" 200 21245
